"CASE_ID","CASE_PARTICIPANT_ID","RECEIVED_DATE","OFFENSE_CATEGORY","DIVERSION_PROGRAM","REFERRAL_DATE","DIVERSION_COUNT","PRIMARY_CHARGE_OFFENSE_TITLE","STATUTE","RACE","GENDER","DIVERSION_RESULT","DIVERSION_CLOSED_DATE"
"389,697,188,342","5,376,116,464,042","2021 Nov 10 12:00:00 AM","Retail Theft","DC","2022 Feb 17 12:00:00 AM","1","RETAIL THEFT","720 ILCS 5/16-25(a)(1)","Black","Male","Failed","2023 Nov 20 12:00:00 AM"
"387,841,387,278","5,333,976,448,882","2021 May 06 12:00:00 AM","Aggravated Battery","MHC","2022 Feb 18 12:00:00 AM","1","AGGRAVATED BATTERY","720 ILCS 5/12-3.05(d)(9)","Black","Male","Failed","2023 Feb 02 12:00:00 AM"
"387,881,545,095","5,335,031,969,528","2021 May 11 12:00:00 AM","Narcotics","ACT","2022 Feb 18 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(c)(1)","Black","Male","Failed","2024 Aug 30 12:00:00 AM"
"387,881,545,095","5,335,032,523,026","2021 May 11 12:00:00 AM","Narcotics","ACT","2022 Feb 18 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/ DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(d)(i)","Black","Male","Failed","2024 Aug 30 12:00:00 AM"
"389,649,508,903","5,375,071,459,857","2021 Nov 05 12:00:00 AM","Theft","BR9","2022 Feb 18 12:00:00 AM","1","THEFT","720 ILCS 5/16-1(a)(1)","Unknown","Unknown","Graduated","2022 Dec 14 12:00:00 AM"
"389,688,264,383","5,375,924,400,243","2021 Nov 10 12:00:00 AM","UUW - Unlawful Use of Weapon","RJCC","2022 Feb 18 12:00:00 AM","1","AGGRAVATED UNLAWFUL USE OF WEAPON","720 ILCS 5/24-1.6(a)(1)","Black","Male",,
"388,951,017,865","5,359,244,185,137","2021 Aug 19 12:00:00 AM","Narcotics","MHC","2022 Feb 22 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(c)(1.5)","Black","Female","Graduated","2024 May 09 12:00:00 AM"
"384,984,063,019","5,269,374,378,723","2020 Aug 10 12:00:00 AM","Burglary","BR9","2022 Feb 23 12:00:00 AM","1","BURGLARY","720 ILCS 5/19-1(a)","Black","Female","Graduated","2022 Nov 30 12:00:00 AM"
"387,351,334,431","5,322,630,847,301","2021 Mar 26 12:00:00 AM","Narcotics","DC","2022 Feb 23 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(c)(1)","Black","Male",,
"387,526,626,488","5,326,698,503,951","2021 Apr 09 12:00:00 AM","Narcotics","DC","2022 Feb 23 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(c)(1)","Black","Male",,
